
Name    Rank    N=10^5  N=10^6
810h1   1       1.7353570456428886005   1.8642935600123875824
810h2   1       1.7353570456428886005   1.8642935600123875824
811a1   1       1.7254515584278404801   1.8488551749149211827
812a1   0       0.34258015674909221392  0.53942941409658497817
812b1   1       1.8885104150459401405   1.7605593810507027277
813a1   0       0.79621434004241204837  0.73683697641621936416
813b1   1       1.6133804046843677838   1.8300914445036826305
813b2   1       1.6133804046843677838   1.8300914445036826305
813b3   1       1.6133804046843677838   1.8300914445036826305
814a1   1       1.6932151815543065644   1.8051189652980847558
814a2   1       1.6932151815543065644   1.8051189652980847558
814b1   1       1.9036943999837006581   1.8283643216223085233
815a1   1       1.7219167959699880298   1.6311679475104000861
815a2   1       1.7219167959699880298   1.6311679475104000861
816a1   1       1.7503352010206793381   1.6326990743395267785
816a2   1       1.7503352010206793381   1.6326990743395267785
816b1   0       0.94906709492757507569  0.49810215332690612426
816b2   0       0.94906709492757507569  0.49810215332690612426
816b3   0       0.94906709492757507569  0.49810215332690612426
816b4   0       0.94906709492757507569  0.49810215332690612426
816c1   0       0.28875611494751662468  0.45238892763042878769
816d1   0       0.28518193487424741056  0.75676179732524508470
816e1   0       0.18354756567766246603  0.49806801950131169444
816e2   0       0.18354756567766246603  0.49806801950131169444
816e3   0       0.18354756567766246603  0.49806801950131169444
816e4   0       0.18354756567766246603  0.49806801950131169444
816f1   0       0.40146725211099817662  0.47575484374108809707
816f2   0       0.40146725211099817662  0.47575484374108809707
816g1   1       1.5607916915487440834   1.6943820323399048987
816h1   1       1.7551392488632570005   1.5581635901048308428
816h2   1       1.7551392488632570005   1.5581635901048308428
816h3   1       1.7551392488632570005   1.5581635901048308428
816h4   1       1.7551392488632570005   1.5581635901048308428
816h5   1       1.7551392488632570005   1.5581635901048308428
816h6   1       1.7551392488632570005   1.5581635901048308428
816i1   1       1.7441774903389381460   1.5782847050768197327
816j1   1       1.5936704040122147304   1.4930973508954343672
816j2   1       1.5936704040122147304   1.4930973508954343672
817a1   2       3.1208954367565717859   2.7519598470858957015
817b1   1       1.6866092307046500584   1.9052320063217754479
819a1   1       1.6409305300278804183   1.5298989621747147569
819a2   1       1.6409305300278804183   1.5298989621747147569
819b1   1       1.5304321089755531732   1.5651814384088636818
819b2   1       1.5304321089755531732   1.5651814384088636818
819c1   0       0.60543044521084733980  0.29261472789964889167
819d1   0       0.41972269809159777593  0.19297031675291830034
819e1   0       0.52854743573644565662  0.34273150812284688815
819e2   0       0.52854743573644565662  0.34273150812284688815
819e3   0       0.52854743573644565662  0.34273150812284688815
819f1   0       0.53052535926074120702  0.60890151001460756625
822a1   1       1.5993309791244080052   1.3929620780885607619
822b1   0       0.59885196845887514510  0.39122927120134124173
822b2   0       0.59885196845887514510  0.39122927120134124173
822c1   0       0.36531133073165651163  0.57792416138766007573
822c2   0       0.36531133073165651163  0.57792416138766007573
822d1   1       1.6260662721377930706   1.8390239755831869620
822e1   0       0.74914932024602414431  0.57643027105908771590
822e2   0       0.74914932024602414431  0.57643027105908771590
822e3   0       0.74914932024602414431  0.57643027105908771590
822e4   0       0.74914932024602414431  0.57643027105908771590
822f1   0       0.78892257631550551337  0.59082118591221015620
825a1   1       1.7139787461307732437   1.4644894564258508199
825a2   1       1.7139787461307732437   1.4644894564258508199
825b1   1       1.8756658511147750439   1.7520909218793623839
825b2   1       1.8756658511147750439   1.7520909218793623839
825b3   1       1.8756658511147750439   1.7520909218793623839
825b4   1       1.8756658511147750439   1.7520909218793623839
825c1   1       1.6617143458190121853   1.8846083117635837351
825c2   1       1.6617143458190121853   1.8846083117635837351
