
Name    Rank    N=10^5  N=10^6
720g3   1       1.7576596938523641503   1.7116337661647695632
720g4   1       1.7576596938523641503   1.7116337661647695632
720h1   1       1.7268428628852876341   1.6646783853883670133
720h2   1       1.7268428628852876341   1.6646783853883670133
720h3   1       1.7268428628852876341   1.6646783853883670133
720h4   1       1.7268428628852876341   1.6646783853883670133
720h5   1       1.7268428628852876341   1.6646783853883670133
720h6   1       1.7268428628852876341   1.6646783853883670133
720h7   1       1.7268428628852876341   1.6646783853883670133
720h8   1       1.7268428628852876341   1.6646783853883670133
720i1   0       0.62539530377982989222  0.60265536624356346955
720i2   0       0.62539530377982989222  0.60265536624356346955
720i3   0       0.62539530377982989222  0.60265536624356346955
720i4   0       0.62539530377982989222  0.60265536624356346955
720j1   0       0.53912181716521857726  0.54525643966953537373
720j2   0       0.53912181716521857726  0.54525643966953537373
720j3   0       0.53912181716521857726  0.54525643966953537373
720j4   0       0.53912181716521857726  0.54525643966953537373
720j5   0       0.53912181716521857726  0.54525643966953537373
720j6   0       0.53912181716521857726  0.54525643966953537373
720j7   0       0.53912181716521857726  0.54525643966953537373
720j8   0       0.53912181716521857726  0.54525643966953537373
722a1   1       1.5374857527278972972   1.6544413868496193585
722a2   1       1.5374857527278972972   1.6544413868496193585
722b1   1       1.5932339912096117483   1.7792211364308916929
722c1   0       0.046725428818749445056 0.63685897135363374975
722c2   0       0.046725428818749445056 0.63685897135363374975
722d1   0       0.38318409551853695482  0.60348314386468286404
722e1   1       1.7470897357436510670   1.7949613520257353324
722e2   1       1.7470897357436510670   1.7949613520257353324
722e3   1       1.7470897357436510670   1.7949613520257353324
722f1   1       2.0196431760541002560   1.7716349528956650422
722f2   1       2.0196431760541002560   1.7716349528956650422
723a1   1       1.5114586616321649749   1.7538966053939961455
723a2   1       1.5114586616321649749   1.7538966053939961455
723b1   1       1.6950782299869147266   1.6371222048956027723
725a1   1       1.6924916890820990886   1.8166655586350834748
725a2   1       1.6924916890820990886   1.8166655586350834748
726a1   1       1.7599061500827164898   1.5944345565716444551
726a2   1       1.7599061500827164898   1.5944345565716444551
726b1   0       0.30514917257052968687  0.56958420215653894022
726c1   0       0.50168711270307207676  0.21650454522436581638
726c2   0       0.50168711270307207676  0.21650454522436581638
726c3   0       0.50168711270307207676  0.21650454522436581638
726c4   0       0.50168711270307207676  0.21650454522436581638
726d1   1       1.7280287781020186332   1.6955897858694417258
726e1   1       1.7128368918646516830   1.7975000765666263868
726e2   1       1.7128368918646516830   1.7975000765666263868
726e3   1       1.7128368918646516830   1.7975000765666263868
726e4   1       1.7128368918646516830   1.7975000765666263868
726f1   0       0.78715111444824097579  0.39766733701133782652
726f2   0       0.78715111444824097579  0.39766733701133782652
726g1   1       1.6445714687977820624   1.6451387499291556232
726h1   0       0.43113353056088314120  0.70485452270812656124
726h2   0       0.43113353056088314120  0.70485452270812656124
726h3   0       0.43113353056088314120  0.70485452270812656124
726h4   0       0.43113353056088314120  0.70485452270812656124
726i1   0       0.83803389702718583307  0.58080429835658772752
728a1   0       0.39856670698072146210  0.63471062245875794925
728b1   0       0.47158410888390258518  0.40703999637471678913
728c1   1       1.7464522294046698830   1.6602914428993332556
728d1   1       1.8827497550771337721   1.6045017966082642898
730a1   0       0.28442984935289371263  0.23923501915008120088
730a2   0       0.28442984935289371263  0.23923501915008120088
730b1   0       0.17960362514044873389  0.75561415716229839598
730b2   0       0.17960362514044873389  0.75561415716229839598
730c1   0       0.31222467517932344365  0.48637123192561222124
730d1   0       0.46046309961343994710  0.70343885819627435093
730e1   0       0.74854089242977545632  0.46499826254106232215
730f1   1       1.6173278431027786965   1.7450998043894074777
730f2   1       1.6173278431027786965   1.7450998043894074777
730g1   1       1.6559970114348772413   1.8346977191259190728
730h1   0       0.74211579095971152587  0.64872963186972465982
730i1   1       1.8658562966648890236   1.6395863805937743541
730j1   1       1.7050064922688268996   1.8099549821084722889
730k1   0       0.61689523355720864948  0.55992917821800848694
730k2   0       0.61689523355720864948  0.55992917821800848694
731a1   1       1.6656084670079923366   1.5393939859435195037
732a1   0       0.53548102713413053234  0.27115458980390132748
732a2   0       0.53548102713413053234  0.27115458980390132748
732b1   1       1.6606780148661084932   1.6704375073083204735
732c1   1       1.7001073215740491597   1.6844575550479174577
732c2   1       1.7001073215740491597   1.6844575550479174577
733a1   0       0.40293505937564710656  0.57357570209152285439
734a1   0       0.59669700369458161602  0.31351089859913228137
734a2   0       0.59669700369458161602  0.31351089859913228137
735a1   0       0.39707830386378582597  0.56625612686402865397
735a2   0       0.39707830386378582597  0.56625612686402865397
735a3   0       0.39707830386378582597  0.56625612686402865397
